StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q17,,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5_1,Q5_2,Q5_3,Q5_4,Q6_1,Q6_2,Q6_3,Q6_4,Q9,Q10,Q11_1,Q12,Q13,Q14,Q15,Q16,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q20,Q21
6/14/23 8:08,6/14/23 8:34,IP Address,50.203.230.202,100,1581,TRUE,6/14/23 8:34,R_2SpKqI6SfkENrvC,,,,,42.3559,-71.2083,anonymous,EN,JG,jgday47,DueFabric,,3,3,4,3,4,3,3,Mostly false,Mostly false,Mostly false,Mostly false,A little bit true,A little bit true,A little bit false,Mostly false,Does fertilizer added to the soil lead to taller flowering plants?,The student question is number 3.I pick this one because in the diagram you can see that the person is adding fertilizer to only one of them to see if you add to just one. Also by the others you can is in the picture that they are not adding salt water or has nothing to do with the sun and the other water. ,1,It's related because the foxes have rabbits in their food web. Rabbits were probably so high at that time because the fox didn't want to eat or it could have been cold and the rabbits couldn't come out.  ,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,I like how it has diifffent jobs and misson for us to do.,There were so glitches and bugs ,The jobs 
6/14/23 13:08,6/14/23 13:17,IP Address,209.6.3.166,100,522,TRUE,6/14/23 13:17,R_3Ic2fYGsDdxoth8,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday48,minimumsled,,3,3,3,3,3,3,3,A little bit false,A little bit false,A little bit false,A little bit false,A little bit false,Mostly true,A little bit false,A little bit false,Does fertilizer added to the soil lead to taller flowering plants?,to see growth,400,,its more then the other fertilizer,i would compare seeds,because they eat enough,i think the fish wont affect all other fish,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,,the scrolling,i dont think it did
6/14/23 9:32,6/14/23 10:01,IP Address,50.203.230.202,100,1763,TRUE,6/14/23 10:01,R_3HThDKPqbKZxzaF,,,,,42.3559,-71.2083,anonymous,EN,JG,jgday49,VeryScale,,4,3,4,6,5,4,4,Definitely false,Mostly false,Definitely false,Definitely false,A little bit true,A little bit false,Mostly false,Mostly false,Does fertilizer added to the soil lead to taller flowering plants?,they are adding fertilizer to the plants. they are also measuring the growth of the plants.,1984,the foxes population grows when the rabbits die down. ,the amount of rice is the same from 5-7.,we are comparing what seed will attract more bird. sunflower and thistle seeds. you will make 10 bird houses and fill 5 of them with sunflower seeds and 5 of them with thistle seeds. you will collect witch ones are gone and the ones that are gone the most will be the most attractive.,the tempiture of the setting of the corals could kill them.,Asian silver carp will affect all the fish because. in he evidence shown once the silver carp invade the shad decreases by 20%. the shiner decreases by 35% and the small mouth bass increases by 16% because it eats the Asian silver carp.,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,how it taught you about things while you playing a game/.,"the scrolling feature. how it was slow and not using key feature. the game not having all completed jobs in aqos, it would be easier to have a completed jobs tab and see all completed jobs from all areas.",by arguing about the topic and observing the ways the organisms eat and reproduce. 
6/14/23 13:08,6/14/23 13:10,IP Address,209.6.3.166,100,130,TRUE,6/14/23 13:10,R_1dAYh3jgGadCsFT,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday5,movingwidget,,1,1,1,1,1,1,1,Definitely false,Definitely false,Definitely false,Definitely false,Definitely false,Definitely false,Definitely false,Definitely false,Does the sun affect how tall the plants grow?,ya,2,okay,16,nine,yes,ya,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Nothing,No,None
6/14/23 8:09,6/14/23 9:21,IP Address,50.203.230.202,100,4329,TRUE,6/14/23 9:21,R_3CCSJmJujfwN4Je,,,,,42.3559,-71.2083,anonymous,EN,JG,jgday50,CheeringNation,,4,4,5,5,5,3,5,A little bit true,A little bit true,A little bit true,A little bit true,A little bit true,A little bit false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,They added fertilizer to only one plant. This means they were probably comparing it to the other plant. ,1986,When the wolf is down the bunny is up. This is because the fox eats the bunny so when the foxes population goes down the bunny population  goes up because less foxes are eating the bunnies.,"When the perfect amount of fertilizer is added to the rice, then the rice grows the most. If to much fertilizer is added, then not as much rice will grow, if to little fertilizer is added not as much rice will grow, but if you add the perfect amount of fertilizer (70-100) then the rice will grow the best.","The bird watcher should put sunflower seed, and thistle seeds in two different bird feeders, then they should place the bird feeders in the same place for around a week, to see which seed is ate more.",,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I liked that there was Victor to help me when I was confused.,"I didn't like how their was no ability to go back and see what the people said if you accidentally  clicked through it without reading all the slides. I also didn't like how as the jobs got much more difficult, Victor got less helpful, so if you were really stuck their was nothing you could do about it because Victor would tell you the same thing over and over again. I also didn't like how difficult it was to scroll.",I learned how organisms interacted together.
6/14/23 8:08,6/14/23 8:37,IP Address,209.6.3.166,100,1725,TRUE,6/14/23 8:37,R_3RmGWBh5WG7u9Wm,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday51,HastyArena,,4,5,5,4,4,4,4,Mostly false,Mostly false,Definitely false,Definitely false,A little bit true,A little bit true,Mostly false,Mostly false,Does fertilizer added to the soil lead to taller flowering plants?,"I think the question for the science experiment shown in the diagram is ""Does fertilizer added to the soil lead to taller flowering plants?"" This is because the diagram shows two of what looks like the same plants, with a spoon labeled ""10 mL of fertilizer"" added to Plant A. However, there is no fertilizer added to Plant B. The diagram also shows that the same amount of water is being given to both of the plants, showing that the only factor being changed is whether there is fertilizer being added or not.",1985,"The graph shows that the populations of rabbits and foxes goes up and down as time passes. In the beginning of the graph, around 1920, there was a similar amount of the two populations, with a few more foxes.Then the number of rabbits goes down rapidly as the number of foxes, goes down a little slower. The graph also shows that when the number of foxes go down, the number of rabbits start to go up. When the population of rabbits start to go down, the number of foxes are usually at its peak. This graph shows that the populations of foxes and rabbits are linked.","When planting crops, too little fertilizer may not have as big of an effect as more fertilizer would. However, too much fertilizer could also give the opposite of the intended effect. Therefore, the ""perfect"" amount, or the general range of the amount of fertilizer needed to grow the plant so it would thrive the most, would be different depending on the crop as well. Finding the ""perfect"" amount of fertilizer may take some trials and errors, but it should be around the middle. The table shows that 0 units of nitrogen grow 7.1 yields of rice. However, 160 units of fertilizer grows 14.4 yields of rice, while the middle, around 70-100 units of nitrogen, grows 26.2 yields of rice, the most out of the entire table.",,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,"One thing that I liked about Wake was that it was a way to learn more while having fun in a game, and explore the different ecosystems and organisms. I also liked that there was a plot to the game, and it was fun to go along with the mystery.","One thing I did not like about Wake was the scrolling. Scrolling through the game was frustrating because I could not scroll as I usually did on my chromebook. I also did not like how long it sometimes took to load the information, such as the reproduction or eating rates.",I think Wake helped me to look at different connections between different organisms and ecosystems.
6/14/23 9:31,6/14/23 10:21,IP Address,209.6.3.166,100,2959,TRUE,6/14/23 10:21,R_30r7bZ72HpAFEm2,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday56,PurifiedIdea,,5,5,4,5,4,4,5,Mostly true,Definitely true,A little bit true,Mostly true,Mostly true,A little bit false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,The fertilizer is the only thing that differences the flowers from each other and everything else is the exact same. Another reason is that the fertilizer is the independent variable because it affects how plant A will grow.,1984,Whenever the rabbits population is increasing the foxes population decreases. Whenever the population of rabbits decreases then the foxes population increases.,"If you add 100 or less fertilizer there will be an increase in the yields of rice in the area, but if you add more than a 100 fertilizer the yields will start decreasing. On the table after the fertilizer reaches past 100 it starts to decrease the amount of rice that is produced in the area.",This experiment will be comparing what type of food attracts more birds. How this experiment will be set up is three identical bird feeders in a yard equally. insert one type of food in each feeder to the top. Then put cameras looking at each feeder and count how many birds visit there. ,My teacher told me to skip to the Aqualab questions because those are important to improve your game.,My teacher told me to skip to the aqualab questions because they are important in improving your game.,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,This game made learning fun and exicting and the graphics and storyline were really good.,the scrolling was extremely slow and had to use the bar. Also level four doesn't do anything except you can have bragging rights on getting it. Also on the harder jobs Victor was extremely broad on asking him for help as in never specifying what is missing. or just not helping at all. An example is when he says to create a model but I don't have enough information to actually create it.,This game showed how species affect the ecosystem and environment. This game also taught how each species affect tall the other species in an ecosystem. 
6/14/23 13:08,6/14/23 13:17,IP Address,209.6.3.166,100,539,TRUE,6/14/23 13:17,R_TpFuHrLShOrBrLH,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday57,Lastingfreco,,5,5,3,6,4,5,5,Definitely false,Mostly false,Definitely false,Mostly false,Mostly true,A little bit true,A little bit true,A little bit true,Do flowering plants grow better when watered with salt water?,Because I believe so,1984,they both vary and raise at the same amount and pace.,The yield of rice was the highest in areas 6&7.,"the sunflower seeds vs thistle

The amount of food 
the amount of birds",Coral apears color ful because of the cyle stated int the chart above,"Great lakes are cool
Anders likes them
Anders really likes them
",Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I liked the fact that we could play a game in class,The complicatedness and unclarity and clairvoyance of the jobs had made some of them require outside help.,I think mainly the journal helped
6/14/23 8:08,6/14/23 8:41,IP Address,50.203.230.202,100,1966,TRUE,6/14/23 8:41,R_2v5PNDGeU6PCQxc,,,,,42.3559,-71.2083,anonymous,EN,JG,jgday58,CosmeticSepal,,6,6,6,6,6,6,6,A little bit true,Definitely true,Mostly true,Definitely true,Mostly true,Mostly false,A little bit true,Mostly true,Does fertilizer added to the soil lead to taller flowering plants?,"I think that the question I selected is being tested because the independent variable is whether or not they are adding fertilizer to a plant. The independent variable is the thing that you change in an experiment. In the experiment they are changing whether or not fertilizer is added to the plant. So that proves that the independent variable is whether or not there is fertilizer added to the plants. Also the question selected is the only one that has whether or not fertilizer is added to the plants as the independent variable. So in conclusion, the question that I selected is being tested because its independent variable is the same as the experiment.",1984,"    The changes in population size of rabbits and foxes are related. This is because of a few reasons. One reason is because they are connected in the food web. This is because the foxes eat the rabbits in their environment. Another reason is because the population of foxes depends on the population of rabbits. This is because the number of foxes cannot exceed the number of rabbits divided by the number of rabbits one fox needs to eat. Also because they live in the same areas, they take up space that other things cannot take up anymore. This is because two animals cannot overlap so there is a max amount of animals that there can be. Because of these reasons the changes in population size of rabbits and foxes are related.","I am sorry, I wanted to write more but my teacher said I was taking too long and to skip to the end.","I am sorry, I wanted to write more but my teacher said I was taking too long and to skip to the end.","I am sorry, I wanted to write more but my teacher said I was taking too long and to skip to the end.","I am sorry, I wanted to write more but my teacher said I was taking too long and to skip to the end.",Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"I liked the animation, the game play, and the overall plot to the story. Also I liked the part where the character was tripping balls in that cave.","I didn't like that for the job cause of death, how you needed to do another job and go back to it just to get the information that I needed. Also I didn't like that there where some jobs that only some people who got lucky could do.",I think that it helped me learn about how to conduct experiments and what to look for in problems.
6/14/23 8:08,6/14/23 8:42,IP Address,209.6.3.166,100,2008,TRUE,6/14/23 8:42,R_9REhjxXujdTzy6d,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday59,FancifulTemper,,4,2,4,3,5,4,4,Mostly false,Mostly false,Definitely false,Mostly false,Mostly true,Mostly false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,"The selected question is being tested because the diagram clearly shows that 10 mL of fertilizer is added to plant A. There is also clearly stated information that plants A and B have 200 mL of water in each pot. So the independent variable is the fertilizer. Also, the image proves that the hypothesis is correct because plant A is taller because it was grown with fertilizer. ",1996,"The changes in the population size of rabbits and foxes are related because when the rabbit population is at its peak the population of the foxes is at its lowest amount of population. However, when the foxes are at their population peak the rabbit population is at their lowest. In conclusion, the population size of the rabbits and the foxes are related because they were opposite meaning the peak of their population and the low of their population were different from each other. ",,,,,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,I liked how you could explore differnet ecosystems. ,I didn´t like that I had to read all of the messages.,I didn´t learn anything from wake. 
6/14/23 8:09,6/14/23 8:41,IP Address,209.6.3.166,100,1881,TRUE,6/14/23 8:41,R_BPyaZnhciMtmCdz,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday60,GenericLogin,,5,5,6,6,5,6,5,Mostly false,Mostly false,A little bit false,Mostly false,A little bit true,Mostly false,A little bit true,Mostly true,Does fertilizer added to the soil lead to taller flowering plants?,They added fertilizer to one of the plants and not the other. This means that the fertilizer is the thing that changes.,1986,"Since the foxes eat rabbits, the population goes up when the fox population was low and vice versa.",When the fertilizer is at 70 units of nitrogen per area and below it is effective and produces more rice. Once it is above 100 the amount of rice produced goes down.,"The bird watcher is trying to investigate if sunflower seeds or thistle seeds will attract more birds. To figure this out they could do an experiment which takes 20 days. For 10 of those days, they would put sunflower seeds in a bird feeder in their backyard. Then for the next 10 days, they would put thistle seeds. Keeping track of how many birds visited when the bird feeder was filled with either sunflower seeds or thistle seeds, they would be able to see which one attracted more birds with a camera.",My teacher told me to move to the end now to the feedback questions :),,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,The story allowed me to be engaged while still learning as well as the ai given to help you is helpful.,"The scrolling was annoying to scroll with since you had to click and drag instead of scrolling. Also, 2 of the jobs glitched and I was unable to complete them. I was not able to put the bow whale in any of the tanks at the end of the game when I was able to earlier. I was also not able to use the stress tank for one of the organisms as it was not working.  There was also no way to go back when someone is saying if you accidentally clicked forwards. The ai sometimes is not helpful at all and I got stuck. It was also not always clear what to do in dreams.",It helped me to conduct experiments more on my own and build confidence. I was able to learn how ecosystems work and how to use graphs.
6/14/23 11:42,6/14/23 12:08,IP Address,209.6.3.166,100,1613,TRUE,6/14/23 12:08,R_3KBHKzIBaybX1HR,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday63,BannedRecipe,,5,3,5,5,5,4,6,Definitely false,Mostly false,Definitely false,Mostly false,A little bit true,Mostly false,A little bit false,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,"I think the question ""does fertilizer added to the soil lead to taller flowering plants?"" represents the diagram above. I think this because in the diagram there are two flower plants. One of the plants has fertilizer next to it, and the other does not. The same amount of water and any other resources will be added to the flowers, the only difference will be the fertilizer in one. This is why i think that is the question representing this diagram.",1983,"The changes in population size of the rabbits and foxes are related. This is because some years there is bigger population in both animals, and some years it is smaller for both. This might be because there may be better climates or resources some years more than others.","The best amount of fertilizer for rice is 70 to 100 units of rice. With this amount, the rice is healthy. Too much or too little fertilizer is unhealthy for the rice, and this is the perfect amount.",,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,I liked how it had pretty pictures. It made collecting the data in cool ecosystems fun. It was interesting and exciting.,"Yes, i didn't like how when I got stuck on a job, victor kept telling me to do the same thing, that was not helpful. Sometimes the directions weren't clear enough and made it very tricky to get through some jobs, especially endangered seals. It was also very hard to scroll, yo had to click on the bar instead of being able to use the mouse.",It helped me learn new science terms and expanded my thinking.
6/14/23 13:08,6/14/23 13:35,IP Address,209.6.3.166,100,1660,TRUE,6/14/23 13:36,R_XhM6A8hSDJRknGF,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday64,ModernBarber,,5,6,5,4,5,6,6,Definitely false,Definitely false,Definitely false,Definitely false,Definitely false,Definitely true,Definitely false,Definitely false,How much water do the plants need?,"How much water do the plants need. 
This is a question that is being tested because if the amount of water changes how the plants grow then it is important to know how much water helps the plants.",,When Foxes go up rabbits go down. This means that when rabbits go up foxes are down because if there are less foxes less rabbits are being eaten but if the fox population goes up there will be less rabbits because there are more foxes eating rabbits.,When there is more fertilizer there is more rice but when there is too much fertizer it goes down.,if you design a bird house with bigger area there will be more birds. ,Algae helps Coral by giving it sugar to survuve.,"Smalmouth bass has increase because its food it more avalible, Small mouth bass has a 16 perecnt increase  becuase it eat asian silver carp and minows.",Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,That it was in the ocean.,How it was about science.,Learning about food chains.
6/14/23 8:08,6/14/23 8:37,IP Address,209.6.3.166,100,1787,TRUE,6/14/23 8:37,R_3kH4RTpf7tp5tJ3,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday65,ClingyDoll,,5,4,5,5,5,5,5,A little bit true,A little bit true,A little bit true,A little bit true,Definitely true,Definitely false,Definitely true,Mostly true,Does fertilizer added to the soil lead to taller flowering plants?,In the diagram it shows that there is fertilizer being added to plant A but the water levels that each plant receives are still the same. The amount of fertilizer is the only variable that is being changed. It is the independent variable of the experiment. The water and the flowerpot are the dependent variables of the experiment. This means that the scientist is trying to find the difference between a plant with no additional fertilizer or a plant with added fertilizer. ,1984,"The foxes are the predators of the rabbit. The rabbits are the producers while the foxes are the consumers. In the graph when the fox population size is low, the rabbit population size increases greatly. The population size of the rabbits grows into the four hundreds. This is because when the fox population size is low then there are less predators in the area. This means that the rabbits can reproduce easier due to the high chance of survival. When the fox population decreases the rabbit population increases. The graph also shows when the fox population increases the rabbit population decreases.","Too much fertilizer is bad for the yields of rice. The amount of fertilizer that is considered unhealthy and not beneficial for the yields of rice is 120,140, and 160 units of nitrogen per area. Too little fertilizer is also not beneficial for the yields of rice. Too little fertilizer is considered to be 0,30,50, and 60 units of nitrogen per area. In the table it shows that the highest amount of yields of rice per area was 26.2. The yields of rice reached that number in areas 5,6 and 7. The amount of fertilizer added in those areas was 70,80, and 100. This shows that 70,80 and 100 are the best amount of fertilizer one can use if they want to increase yields of rice per area.",One would compare which type of food has the highest eating rates for the birds. One would make three different experiments testing each food type separately. The bird watcher could get three different bird feeders to avoid contamination within the food types. Then the bird watcher could fill each bird feeder with a different type of seed and set them in her backyard each on a different day. The data collected would be the eating/ interaction rates for each food type.,,,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I liked the story-line and the plot. The jobs were fun as well. I liked being in charge of my own story and doing stuff on my own. ,Victor didn't answer my questions in detail. It was very vague. When creating a model it wouldn't tell me what I did wrong or it was unclear. For some of my friends the game reset for them.  ,It taught me more about experimenting and I can read models now. It introduced many new species that I did not know about before. I can think of many more marine species that I used to. 
6/14/23 11:41,6/14/23 12:09,IP Address,209.6.3.166,100,1670,TRUE,6/14/23 12:09,R_1lA0348yzvslPGi,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday67,FunniestCitrus,,6,6,6,6,6,6,6,A little bit true,Definitely true,Mostly true,Definitely true,Mostly true,Mostly false,A little bit true,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,"I think that the question above is being tested because there is fertilizer being used in only one plant which means the question has to do with fertilizer because the fertilizer is whats being tested and in order for accurate results only one thing can be tested at a time. Because there is also a specific amount of fertilizer going into a plant, it's not figuring out how much fertilizer is needed, but the effects of the fertilizer. By using this process of elimination I found which question is being tested.",1984,The graph shows a pattern of spikes and drops in the populations of the species. Just after the population of rabbits spikes the fox population spikes as well. This has to do with the fact that the rabbits are the prey of the foxes. When there are so many rabbits the foxes have more than enough food and are more healthy. When the fox population starts to grow from all of the food then the rabbit population drops because they're being eaten by the new amount of foxes. After the rabbit population drops the fox population drops as well from the lack of food. This cycle keeps on repeating about every 30 years.,If between 70 and 100 units of nitrogen per area of fertilizer is added to the rice crops then there will be more kg of rice per area then if an amount of fertilizer outside of that range is added. On the table it shows that when 70 80 and 100 units of nitrogen per area of fertilizer there is the highest amount of kg of rice per area. for all the other amounts of fertilizer there is a smaller yield of rice. ,"To test if birds like sunflower or thistle seeds are better, a bird watcher can create two bird feeders close to each other. One bird feeder will be filled with sunflower seeds  and the other thistle seeds. The two bird feeders must be close to each other and all factors other than the type of seeds must be the same because they are the constants. the bird watcher can then count for a day how many birds visit each bird feeder and then the bird feeder that has the most bird visits is the most liked type of seed.",,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I liked how it felt like a game and less like school. I also liked how it lets you experiment.,"I did not like how you had to drag the scroll barf to scroll and write on separate slides, I think that an easy way for teachers to access students progress should be added. I also did not like how glitchy the game could be, I finished all the jobs except for one and had all the upgrades but one was still not available.","I think that Wake helped me discover that I can do science more than help me learn science. In my opinion Wake did not really teach me anything, It made me confident in what I could do."
6/14/23 9:32,6/14/23 9:41,IP Address,209.6.3.166,100,489,TRUE,6/14/23 9:41,R_1DtDPDv05qq9wko,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday68,PlannedTunic,wrote sixtea,5,4,4,4,4,4,4,Definitely false,Definitely false,Definitely false,Definitely false,Mostly false,Mostly true,Mostly false,Mostly false,Does fertilizer added to the soil lead to taller flowering plants?,I'm not sure it could be to see if your answered changed from the first day we did this.,1984,whenever the foxes increase the rabbits always decrease,idk,im not sure ,I don't know,i don't know,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,i liked it ,some jobs were very confusing and did no give much details on how to do some jobs Victor was alot of help though,I just did
6/14/23 8:09,6/14/23 8:38,IP Address,209.6.3.166,100,1748,TRUE,6/14/23 8:38,R_2rI8xwjPMw36CY7,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday69,RealPeace,,4,4,3,4,4,3,4,A little bit true,A little bit true,A little bit false,A little bit false,A little bit true,A little bit false,A little bit true,A little bit true,How much fertilizer do flowering plants need?,They are putting fertilizer in one pot and not the other pot. They are probably trying to see a difference in the plants size or shape.,1985,the changes are related because foxes eat the rabbit and so when the foxes decline the rabbit's population go up.,,have 3 different seeds laid out watch the bird come to eat mark when each bird comes and when they come.,If coral is streesed the color will ,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I liked how you had to watch interactions and make real-life models ,the scroll was really weird and really slow if that could be faster.,i learned about coral and marine biology 
6/14/23 8:08,6/14/23 8:33,IP Address,50.203.230.202,100,1483,TRUE,6/14/23 8:33,R_1dn6CfdxpGQDr9O,,,,,42.3559,-71.2083,anonymous,EN,JG,jgday7,CenteredRecall,,5,4,6,5,5,6,5,A little bit true,Mostly true,Mostly false,Mostly true,A little bit true,A little bit true,A little bit false,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,"In the image, 10 mL of fertilizer are being added to exclusively plant A. The student is recording and measuring the growth of both A and B and comparing the two. Considering one got fertilizer, the student is comparing the growth of a fertilized plant vs. a non-fertilized plant.",1984,"When the fox population decreases, the rabbit population increases rapidly due to the fact that rabbits are prey to foxes. This same event occurs when the fox population increases causing the rabbit population to decrease.","To have the most rice, there must be an appropriate amount of fertilizer. It is shown in the table that the most yields of rice are found between numbers 70-100 of fertilizer. Anything below or above that the yields are seen to decrease.
 ","The bird watcher could set up two bird feeders (same model, same size, same height) in her backyard spaced by five feet. They would then fill each up with equal weight of thistle or sunflower seeds and wait one day and then compare the weight of each left and see which the birds preferred.","Coral B is a healthy piece of coral, this is seen one interacting with healthy algae. Coral A, an unhealthy dead piece also interacts with algae, however, this algae is being harmed by the temperature of the ocean, Algae that is being negatively affected also has a negative effect on the coral.","Not all fish will be affected by Asian silver carp in the same way. Shad and shiner fish, while both having decreased populations after the carp, they decreased in different amounts. The shad had a 20% decrease whilst the shiner had a 35% decrease.The final fish is a smallmouth bass. These increased by 16%.

The reason the shad and shiner decreased could be because the carp has the same food source and or that the carp eats shad and shiner. The smallmouth bass increased because the carp is it's food source.",Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,I loved the graphics and I thought the story line was unique. I also really appreciated the free-world travel aspect.,"I did not like the excess dialogue that was unrelated. I also didn't like how V1ct0r, although seen as a 'helping bot' had not useful to provide and 90% of the time did not help. The scroll bar was insanely slow and it was annoying to have to scroll manually.",I think Wake helped me have more understanding on why some species need to be rid of some environments or how others can help. It helped me understand abiotic factors more too.
6/14/23 9:32,6/14/23 10:06,IP Address,209.6.3.166,100,2061,TRUE,6/14/23 10:06,R_32VKvIUp3EhZrIP,,,,,42.3725,-71.1814,anonymous,EN,JG,jgday71,AnimalTassel,,5,4,6,6,4,6,5,A little bit false,A little bit true,Mostly false,A little bit true,A little bit false,A little bit false,A little bit false,A little bit true,Does fertilizer added to the soil lead to taller flowering plants?,I think that that question is being tested because both of the plants have water but one plant has soil. So the variable is the soil in the test. In the diagram it shows that one of plants has soil being added but the other is not because it is the control.,1985,The changes of population size of rabbits of foxes are related because in the graph it shows that when the foxes population starts to go up the rabbits goes down because the more foxes the more food they eat which they eat more rabbits. But when rabbits population goes down the foxes goes down because there is less food for all of them to eat. It is like a cycle when the foxes population goes up the rabbits goes down and then when the foxes goes down the rabbits goes up.,"The more fertalizer in the area the more yields of rice there is but when there is to much it could make it worse. In the table it shows that area 5,6,7 have the most yields of rice but than 8,9,10 have more fertillizer added than 5,6,7 but has less yields of rice and 1,2,3 have the least amount of fertilizer and has the lease yields of rice.",An experiment that you can do is that you can put the seeds in the same spot and the one that,.,.,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,One thing that I liked about Wake was that I got to explore the world place and got to see different plants and animals from different habitats. Another thing that I like about Wake was that I got to do tests on the plants and animals as if a scientist would.,What I didn't like about Wake was the scroll wheel and that we had to do slides and answer the question. Another thing that I didn't like was that some of the quest were confusing and I had to ask somebody that did the quest to help me.,One way Wake helped me learn science was how scientist do expirements on plants and animals.
