Line Name,Code,English,Español ,//comments,Code-switching,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:3,@38CB5094,"Some environments will stress organisms, others will not. Don't be afraid to select ecosystems outside of your current job!","Unas condiciones estresaran a los organismos, otras no. No tengas miedo de seleccionar ecosistemas fuera de tu tarea.",,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:4,@37CB4F01,Then you will select the {h}Organisms{/h} you are trying to measure something about.,Después seleccionarás los {h}Organismos{/h} que estás investigando.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:5,@36CB4D6E,"After that, you can set the {nameof WaterStabilizer} or the {nameof AutoFeeder} if you have them.","Y después, puedes ajustar el {nameof WaterStabilizer} o el {nameof AutoFeeder} si los tienes.",,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.intro:6,@35CB4BDB,Click the {h}Add Water{/h} button to get started!,¡Haz clic en el botón {h}Añadir agua{/h} para empezar!,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:0,@0274A24D,{@guide}\tThis is your {h}{nameof MeasurementTank}{/h}.,{@guide}\t Éste es tu {h}{nameof MeasurementTank}{/h}.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:1,@0174A0BA,Use it to gather measurements that you'll need for Modeling Lab simulations!,Usalo para recopilar medidas que necesitarás en las simulaciones del Laboratorio de Modelización.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:2,@00749F27,"First, select an {h}Environment{/h}.","Primero, selecciona un {h}Ambiente{/h}.",,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:3,@FF749D94,Some environments will stress organisms. Others will not.,Algunos ambientes estresarán a los organismos. Otros no.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:4,@FE749C01,Don't be afraid to select ecosystems outside of your current job.,No tengas miedo de seleccionar ecosistemas fuera de tu trabajo actual.,,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:5,@FD749A6E,"Next, select your {h}Organisms{/h}.","Después, selecciona tus {h}Organismos{/h}.",,,
ExperimentResponses|partner.talk.experiment.generic.measurement-tank.request-intro:6,@FC7498DB,"Then set the {nameof WaterStabilizer} or the {nameof AutoFeeder}, if you have them.","Y después ajusta el {nameof WaterStabilizer} o el {nameof AutoFeeder}, si los tienes.",,,
ExperimentResponses|partner.talk.experiment.generic.features.intro:0,@4083C475,{@guide}\tHere is where you can modify tank features to measure different types of facts.,{@guide}\tAquí es donde puedes modificar las características de los tanques para medir diferentes hechos.,,,
ExperimentResponses|partner.talk.experiment.generic.features.intro:1,@3F83C2E2,"Deactivate the {h}{nameof WaterStabilizer}{/h} if you want to see how an organism affects its environment,",Desactiva el {h}{nameof WaterStabilizer}{/h} si quieres ver cómo cambia su ambiente un organismo. ,,,
ExperimentResponses|partner.talk.experiment.generic.features.intro:2,@3E83C14F,or turn off the {nameof AutoFeeder} if you want to measure eating rates.,O desactiva el {nameof AutoFeeder} si quieres medir las tasas de consumo.,,,
ExperimentResponses|partner.talk.experiment.generic.features.intro:-150,@B3973598,Leaving both active will allow you to measure reproduction rates.,"Si dejas ambos activos, podrás medir las tasas de reproducción.",,,
script|job.above-n-below.start:0,@02886E41,"{@profArctic} Thank you, Ollie!","{@profArctic} ¡Gracias, Ollie!",,,
script|job.above-n-below.start:1,@01886CAE,I noticed from the probe data that some other species live in the {m}Ephemeral Impass{/m}.,Me di cuenta por los datos de la sonda que otras especies viven en el {m}Paso Efímero{/m}.,,,
script|job.above-n-below.start:2,@00886B1B,I'm so curious to find out whether they interact with the Ribbon Seals!,¡Estoy curiosa por saber si interactúan con las focas listadas!,Histriophoca fasciata,,
script|job.above-n-below.start:3,@FF886988,Wish I could figure it out myself... it seems like there's never enough time.,Me gustaría resolverlo yo misma... pero parece que nunca hay suficiente tiempo.,,,
script|job.above-n-below.start:4,@0688748D,"{@player}     Well, you are running an entire science station in extreme conditions, in what a lot of people would call the middle of nowhere.","Pues, estás dirigiendo una estación científica en condiciones extremas, en lo que mucha gente llamaría el medio de la nada.",,,
script|job.above-n-below.start:5,@058872FA,"{@profArctic}  Ha. Well, it may be the middle of nowhere, but it's our middle of nowhere.","Ja. Puede que sea el medio de la nada, pero es nuestro medio de la nada.",,,
script|job.above-n-below.start:6,@04887167,"And it's not a bad view, either.",Ni tampoco es una mala vista.,,,
script|job.above-n-below.start:7,@03886FD4,"Anyhow, what do you say, Ollie? Can you make a {nameof VisualModel} of how all the species interact?","Entonces, ¿qué me dices, Ollie? ¿Puedes hacer un {nameof VisualModel} de cómo interactúan todas las especies?",,,
script|job.above-n-below.start:8,@FA8861A9,{@player}      I'd love to. I'll let you know what I find out!,{@player}Me encantaría. Te informaré lo que averigüe. ,,,
script|job.above-n-below.speciesScanned:0,@FD0FFEA9,"{@guide}        Now that we have these species scanned and counted, let's drop them in the observation tank.","{@guide} Ahora que ya tenemos estas especies escaneadas y contadas, echémoslas al tanque de observación.",,,
script|job.above-n-below.experimentsCompleted:0,@1318FC1A,{@guide}        Time to head to the modeling lab to show how seals and other species interact.,{@guide} Es hora de irse al laboratorio de modelización para mostrar cómo interactúan las focas y otras especies.,,,
script|job.above-n-below.modelCompleted:0,@C2206449,{@guide}        Looks good! {nameof @profArctic} is waiting.,{@guide} Parece bien. {nameof @profArctic} te está esperando.,,,
script|job.above-n-below.catchScanNew:0,@9ACC9FBF,{@guide}        Head to {nameof RS-4Y} and scan the species there.,Dirígete al {nameof RS-4Y} y escanea las especies que hay allá.,,,
script|job.above-n-below.catchCountNew:0,@02DF10A5,{@guide}        Count the species in the {nameof RS-4Y}.,Cuenta las especies en el {nameof RS-4Y}.,,,
script|job.above-n-below.catchExperimentInteractions:0,@5DC7C824,{@guide}        Place seals in the observation tank with other species they could interact with from {nameof RS-4Y}.,{@guide} Coloca las focas en el tanque de observación con otras especies con que podrían interactuar desde el {nameof RS-4Y}.,,,
script|job.above-n-below.catchCreateModel:0,@001E9B3B,{@guide}        Take what you learned from experimentation and create a Visual Model out of it.,{@guide}Toma lo que aprendis de la experimentación y crea un Modelo Visual de ello.,,,
script|job.above-n-below.catchReportBack:0,@61C94F23,{@guide}        Report back to {nameof @profArctic}.,{@guide}        Informa a {nameof @profArctic}.,,,
script|job.above-n-below.argue.intro:1,@82980B7C,{@profArctic}   Do the seals and bottom-dwelling species interact?,{@profArctic} ¿Interactúan entre si las focas y las especies que viven en el fondo marino?,,,
script|job.above-n-below.argue.intro:2,@85981035,Yes,Sí ,,,
script|job.above-n-below.argue.intro:3,@84980EA2,No,No,,,
script|job.above-n-below.argue.showClaimYes:0,@187C927D,{@profArctic}   Can I see your model?,{@profArctic}¿Puedo ver tu modelo?,,,
script|job.above-n-below.argue.showClaimYes:2,@167C8F57,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.above-n-below.argue.showClaimYes:5,@137C8A9E,Let me get back to you.,Ahorita regreso,,,
script|job.above-n-below.argue.unrelatedYes:1,@EE94A651,"{@profArctic} Huh. That's interesting, Ollie, but it's not really relevant.","{@profArctic} Eh... es interesante, Ollie, pero no es muy relevante.",,,
script|job.above-n-below.argue.completeYes:1,@BB760498,"{@profArctic}   Hmm, I'm not sure I see how based on your model.","{@profArctic} Mm basándome en tu modelo, no estoy muy segura cómo.",,,
script|job.above-n-below.argue.completeYes:2,@BE760951,It looks they only <i>might</i> interact through detritus.,Parece que sólo <i>podrían</i> interactuar a través del detritus.,,,
script|job.above-n-below.argue.completeYes:3,@BD7607BE,Good to know though!,¡Aunque es bueno saberlo!,,,
script|job.above-n-below.argue.showClaimNo:0,@1DFEE4A1,{@profArctic}   Can I see your model?,{@profArctic}¿Me enseñas tu modelo?,,,
script|job.above-n-below.argue.showClaimNo:2,@1BFEE17B,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.above-n-below.argue.showClaimNo:5,@20FEE95A,Let me get back to you.,Ahorita regreso,,,
script|job.above-n-below.argue.unrelatedNo:1,@95762877,"{@profArctic} Huh. That's interesting, Ollie, but it's not really relevant.","{@profArctic}Eh... es interesante, Ollie, pero no es muy relevante.",,,
script|job.above-n-below.argue.giveUp:0,@520BD5DF,"{@profArctic} No problem, Ollie. Just let me know when you're ready.","{@profArctic} No hay problema, Ollie. Avísame cuando estés lista.",,,
script|job.above-n-below.argue.completeNo:1,@1D8F3DDC,"{@profArctic} Oh, this is fascinating!","{@profArctic}¡Ay, esto es fascinante!",,,
script|job.above-n-below.argue.completeNo:2,@208F4295,So it seems the Ribbon Seals and the other species don't really interact...,Parece que las focas listadas y las otras especies no interactúan realmente...,,,
script|job.above-n-below.argue.completeNo:3,@1F8F4102,"Except through detritus, I guess.","Excepto a través del detritus, supongo.",,,
script|job.above-n-below.argue.completeNo:4,@1A8F3923,"Thank you, Ollie. I've been wondering about that place for years!","Gracias, Ollie. ¡Llevo años preguntándome sobre eso!",,,
script|job.arctic-cause-of-death.start:0,@9BF05BE4,{@arcticSci} Ah! Looking to do more detective work?,{@arcticSci} ¡Ah! ¿Quieres más trabajo de detective?,,,
script|job.arctic-cause-of-death.start:1,@9CF05D77,{@player}    I guess so. I've been wondering about what could've happened to Linda.,{@player} Supongo que sí. Me he estado preguntando qué pudo haberle pasado a Linda.,,,
script|job.arctic-cause-of-death.start:2,@9DF05F0A,How did she die? What happened to her?,¿Cómo murió? ¿Qué le ocurrió?,,,
script|job.arctic-cause-of-death.start:3,@9EF0609D,"{@arcticSci} I've been wondering the same, Ollie.","{@arcticSci} Me he estado preguntando lo mismo, Ollie.",,,
script|job.arctic-cause-of-death.start:4,@97F05598,"I have two theories: poor water conditions, or a lack of food.","Tengo dos teorías: malas condiciones del mar, o falta de comida.","In science, shouldn't these be hypotheses? Although it's just being used in causal conversation",,
script|job.arctic-cause-of-death.start:5,@98F0572B,You'll need to check into each theory and decide which is most plausible.,Tendrás que comprobar cada teoría y decidir cuál es la más probable.,,,
script|job.arctic-cause-of-death.start:9,@94F050DF,{@arcticSci}   We already know that {pluralnameof BowheadWhale} eat both diatoms and ice algae.,{@arcticSci} Ya sabemos que la Ballena Boreal come diatomeas y algas del hielo.,Balaena mysticetus. También conocida como ballena de Groenlandia o ballena cabeza de arco (Balaena mysticetus),,
script|job.arctic-cause-of-death.start:10,@5562D6C5,This data should be useful to you here.,Deben serte útil estos datos aquí.,,,
script|job.arctic-cause-of-death.start:16,@4F62CD53,"{@arcticSci}   In my work, I've already obtained the water conditions that cause stress to Bowhead Whales.","{@arcticSci}   Con mi trabajo, ya tuve las condiciones del agua que causan estrés a la Ballena Boreal .",,,
script|job.arctic-cause-of-death.start:17,@4E62CBC0,You'll be able to compare this to the conditions at {h}Site W{/h}.,Podrás compararlo con las condiciones del {h}Sitio W{/h}.,,,
script|job.arctic-cause-of-death.switchToJob:1,@677A506B,"{@arcticSci}   Glad to see you returning to this job, Ollie!","{@arcticSci} ¡Me alegra verte regresar a este trabajo, Ollie!",,,
script|job.arctic-cause-of-death.switchToJob:2,@687A51FE,{@player}      Of course. We need to find out what happened to Linda.,{@player} Claro. Tenemos que averiguar qué le pasó a Linda.,,,
script|job.arctic-cause-of-death.switchToJob:3,@697A5391,"Though I have no idea what these whales eat, so I'm not sure how helpful I'll be.","Aunque no tengo ni idea que comen estas ballenas, así que no estoy seguro de lo útil que seré.",,,
script|job.arctic-cause-of-death.switchToJob:4,@6A7A5524,"{@arcticSci}    Oh dear. I'm sorry, Ollie. I meant to tell you last time!","{@arcticSci} Ay, cielos. Lo siento, Ollie. ¡Se me fue el avión de informarte la última vez!",,,
script|job.arctic-cause-of-death.switchToJob:5,@6B7A56B7,"In the course of my work, I've learned that these whales eat both diatoms and ice algae.","En el curso de mi trabajo, aprendi que estas ballenas comen diatomeas tal como algas del hielo.",,,
script|job.arctic-cause-of-death.switchToJob:6,@6C7A584A,"{@player}       Oh, that's great! Thanks, Professor.","{@player} ¡Qué chido! Gracias, Profe.",,,
script|job.arctic-cause-of-death.switchToJob:12,@3E8C7C1B,{@arcticSci}  It looks like you've obtained the water conditions at {h}Site W{/h}.,{@arcticSci} Parece que ya tienes las condiciones del agua en el {h}Sitio W{/h}.,,,
script|job.arctic-cause-of-death.switchToJob:13,@3D8C7A88,You can compare those with the water conditions that stress the Bowhead Whales. See if it matches up.,Puede compararlas con las condiciones del agua que estresan a la Ballena Boreal. Ver si coinciden.,,,
script|job.arctic-cause-of-death.helpLost:0,@FF57E04D,{@player}  Hey {nameof @guide}... I'm a little lost.,{@player} Oye {nameof @guide}... Estoy un poco perdida.,,,
script|job.arctic-cause-of-death.helpLost:1,@FE57DEBA,"{@guide}   Don't worry, O. Our map and compass are fully operational.","{@guide} No te preocupes, O. Nuestra mapa y brújula están totalmente operativos.",,,
script|job.arctic-cause-of-death.helpLost:2,@FD57DD27,{@player}   No. I mean... what are we supposed to do here?,{@player} No. Quiero decir... ¿qué se supone que tenemos que hacer aquí?,,,
script|job.arctic-cause-of-death.helpLost:3,@FC57DB94,"{@guide}    Ah. You have been tasked with investigating each of {nameof @arcticSci}'s theories about Linda's death: water conditions, or lack of food.","{@guide} Ah. Te encargaste de investigar cada una de las teorías de {nameof @arcticSci} sobre la muerte de Linda: condiciones del agua, o falta de alimento.","Theory, or hypothesis?",,
script|job.arctic-cause-of-death.helpLost:4,@FB57DA01,You will still need more information in order to investigate either theory.,Seguirás necesitando más información para investigar cualquiera de las dos teorías.,^^,,
script|job.arctic-cause-of-death.helpLost:5,@FA57D86E,Check your {h}AQOS{/h} to see where to go next.,Comprueba tu {h}AQOS{/h} para ver a dónde ir a continuación.,,,
script|job.arctic-cause-of-death.helpScanProbE:0,@B7C05DE4,"{@player} What should we do now, {nameof @guide}?","{@player} ¿Qué debemos hacer ahora, {nameof @guide}?",,,
script|job.arctic-cause-of-death.helpScanProbE:1,@B8C05F77,{@guide}  You need to investigate whether the water conditions proved deadly for Linda.,{@guide} Necesitas investigar si las condiciones del agua fueron mortales para Linda.,,,
script|job.arctic-cause-of-death.helpScanProbE:2,@B9C0610A,Try scanning the {h}water chemistry probe{/h} for more data.,Intenta escanear la {h}sonda de química del agua{/h} para obtener más datos.,,,
script|job.arctic-cause-of-death.helpScanProbP:0,@7C3012CF,"{@player}  Okay, {nameof @guide}. What's our next step?","{@player}  Sale, {nameof @guide}.¿Cuál es nuestro siguiente paso?",,,
script|job.arctic-cause-of-death.helpScanProbP:1,@7B30113C,{@guide}   You need to determine if Linda died of starvation.,{@player}  Debes determinar si Linda murió de hambre.,,,
script|job.arctic-cause-of-death.helpScanProbP:2,@7E3015F5,That means you'll need to find out if her food population declined.,Eso significa que tendrás que averiguar si su población alimenticio disminuyó.,,,
script|job.arctic-cause-of-death.helpScanProbP:3,@7D301462,There's no live whale here to help us obtain data on what Bowhead Whales eat...,Aquí no hay ninguna ballena viva que nos ayude a obtener datos sobre lo que comen las Ballenas Boreales...,,,
script|job.arctic-cause-of-death.helpScanProbP:4,@78300C83,So I would suggest gathering data on everything.,Así que sugeriría recopilar datos sobre todo.,,,
script|job.arctic-cause-of-death.helpScanProbP:5,@77300AF0,"{@player}  Got it. Thanks, {nameof @guide}.","{@player}  Lo tengo. Gracias, {nameof @guide}.",,,
script|job.arctic-cause-of-death.helpReport:0,@69773DED,"{@player}   Okay, V. What now?","De acuerdo, V. ¿Y ahora qué?",,,
script|job.arctic-cause-of-death.helpReport:2,@67773AC7,{@guide}    It's time to report back to {nameof @arcticSci}!,{@guide}    ¡Es hora de informar a {nameof @arcticSci}!,,,
script|job.arctic-cause-of-death.helpReport:4,@657737A1,{@guide}    Be sure to review your data and the hypotheses of {nameof @arcticSci} before presenting your findings.,{@guide}    Asegúrate de revisar tus datos y las hipótesis de {nameof @arcticSci} antes de presentar tus conclusiones.,,,
script|job.arctic-cause-of-death.giveWhaleEat:0,@519C2308,"{@guide}   Adequate work, O!","{@guide} ¡Un trabajo adecuado, O!",,,
script|job.arctic-cause-of-death.giveWhaleEat:1,@529C249B,"Incidentally, I've received a transmission from {nameof @arcticSci}.","Por cierto, recibí una transmisión de {nameof @arcticSci}.",,,
script|job.arctic-cause-of-death.giveWhaleEat:2,@539C262E,"According to his data, Bowhead Whales eat both diatoms and ice algae.","Según sus datos, las Ballenas Boreales se alimentan de diatomeas y algas del hielo.",,,
script|job.arctic-cause-of-death.giveWhaleEat:3,@549C27C1,This should help in your investigation!,Esto debería ayudarle en tu investigación.,//who's speaking here? (tu vs usted),,
script|job.arctic-cause-of-death.giveWhaleEat:4,@559C2954,{@player}  ....{nameof @guide}...,{@player} ....{nameof @guide}...,,,
script|job.arctic-cause-of-death.giveWhaleEat:5,@569C2AE7,"{@guide}   Yes, O?","¿Sí, O?",,,
script|job.arctic-cause-of-death.giveWhaleEat:6,@579C2C7A,{@player}   Did you wait to tell me this information so that I would have to gather all that extra data from the probe?,¿Esperaste a decirme esa información para que tuviera que reunir todos esos datos adicionales de la sonda?,,,
script|job.arctic-cause-of-death.giveWhaleEat:7,@589C2E0D,{@guide}    Processing... processing..., {@guide} Procesando... procesando...,,,
script|job.arctic-cause-of-death.giveWhaleEat:8,@499C1670,"{@player}   Oh, never mind, V. I get it. Data is pretty awesome.","{@player}No importa, V. Lo entiendo. Los datos son increíbles.",,,
script|job.arctic-cause-of-death.giveWhaleStress:0,@68B041EE,"{@guide} Satisfactory work, O!","{@guide}¡Un trabajo satisfactorio, O!",,,
script|job.arctic-cause-of-death.giveWhaleStress:1,@69B04381,"{@player} Thanks, V.","{@player} Gracias, V.",,,
script|job.arctic-cause-of-death.giveWhaleStress:2,@66B03EC8,So what should we do next?,¿Y ahora qué hacemos?,,,
script|job.arctic-cause-of-death.giveWhaleStress:3,@67B0405B,{@guide}  {nameof @arcticSci} has sent over data on the water conditions that stress the whale.,{@guide}  {nameof @arcticSci} me envió datos sobre las condiciones del agua que estresan a la ballena.,,,
script|job.arctic-cause-of-death.giveWhaleStress:4,@6CB0483A,You will need to compare his data to the water conditions here.,Tendrás que comparar sus datos con las condiciones del mar aquí.,,,
script|job.arctic-cause-of-death.catchGetEnvironmentData:0,@F7EF165E,{@guide}    Collect water chemistry data from a probe at Site W.,{@guide}    Recoge los datos químicos del mar con una sonda en el Sitio W.,,,
script|job.arctic-cause-of-death.catchGetHistPopulationData:0,@F85920C2,{@guide}    Collect population history data from a probe at Site W.,{@guide}    Recoge datos del historial de la población con una sonda en el Sitio W.,,,
script|job.arctic-cause-of-death.catchGetCurrPopulationData:0,@CB54C9E2,{@guide}    We need to collect the current populations of all organisms at the {h}whalefall site{/h}.,{@guide}    Necesitamos tomar las poblaciones actuales de todos los organismos en el {h}sitio de la caida de ballena{/h}.,,,
script|job.arctic-cause-of-death.catchReportBack:0,@46C9A4C2,"{@player}   What now, {nameof @guide}?","{@player}   ¿Y ahora qué, {nameof @guide}?",,,
script|job.arctic-cause-of-death.catchReportBack:1,@47C9A655,{@guide}    You need to return to the station and talk to {nameof @arcticSci}!,{@guide}    ¡Tienes que volver a la estación y hablar con {nameof @arcticSci}!,,,
script|job.arctic-cause-of-death.argue.intro:1,@8791B77D,{@arcticSci} Let's see. We've determined that a change in Linda's food supply is what caused her death., {@arcticSci} Veamos. Hemos determinado que lo que causó la muerte de Linda fue un cambio en su suministro de alimentos.,,,
script|job.arctic-cause-of-death.argue.intro:2,@8491B2C4,What did you determine about the Diatom and Ice Algae populations?,¿Qué averiguaste sobre las poblaciones de Diatomeas y las Algas del Hielo?,,,
script|job.arctic-cause-of-death.argue.intro:5,@8391B131,"{@arcticSci} Well, Ollie. Let's see what you discovered."," {@arcticSci} Bien, Ollie. Veamos qué descuvriste.",,,
script|job.arctic-cause-of-death.argue.intro:6,@8091AC78,Which hypothesis is most likely?,¿Cuál de las hipótesis es más probable?,,,
script|job.arctic-cause-of-death.argue.intro:8,@7E91A952,There was a problem with Linda's food supply.,Hubo un lio con el suministro de comida de Linda.,,,
script|job.arctic-cause-of-death.argue.intro:11,@B6638CA4,There was a problem with Linda's water conditions.,Hubo un problema con las condiciones del mar para Linda.,,,
script|job.arctic-cause-of-death.argue.intro:13,@B8638FCA,Let me check my notes and get back to you.,Déjame revisar mis notas y te contestaré.,,,
script|job.arctic-cause-of-death.argue.foodClaim:0,@F9F1E620,"{@arcticSci}    Hmmm. Okay, let's take it step by step.","{@arcticSci} Mm. Bien, vayamos paso a paso.",,,
script|job.arctic-cause-of-death.argue.foodClaim:1,@FAF1E7B3,What possible food sources for {nameof BowheadWhale} are at {nameof RS-4W}?,¿Qué posibles fuentes de alimento para la {nameof BowheadWhale} hay en {nameofa RS-4W}?,,,
script|job.arctic-cause-of-death.argue.stressClaim:0,@A1014E64,{@arcticSci}   Really? How did Linda's environment compare to the stress ranges I gave you?,{@arcticSci} ¿De verdad? ¿Cómo se compara el estado del ambiente de Linda con los rangos de estrés que te he dado?,,,
script|job.arctic-cause-of-death.argue.showClaim:1,@0863D6C4,Present facts from AQOS,Presentar los datos actuales de AQOS,,,
script|job.arctic-cause-of-death.argue.showClaim:4,@0563D20B,Let me get back to you.,Ahorita vuelvo,,,
script|job.arctic-cause-of-death.argue.showClaim2:1,@535FF114,Present facts from AQOS,Presentar los datos actuales de AQOS,,,
script|job.arctic-cause-of-death.argue.showClaim2:4,@505FEC5B,Let me get back to you.,Ahorita vuelvo,,,
script|job.arctic-cause-of-death.argue.showClaim3:1,@5D81A24B,Present facts from AQOS,Presentar los datos actuales de AQOS,,,
script|job.arctic-cause-of-death.argue.showClaim3:4,@6081A704,Let me get back to you.,Ahorita vuelvo,,,
script|job.arctic-cause-of-death.argue.howKnow:2,@82FD97D3,"{@arcticSci}   Exactly right, Ollie.","{@arcticSci}   Exacto, Ollie.",,,
script|job.arctic-cause-of-death.argue.howKnow:3,@81FD9640,And what did you determine about the populations for Diatoms and Ice Algae?,¿Y qué determinaste sobre las poblaciones de Diatomeas y Algas del Hielo?,,,
script|job.arctic-cause-of-death.argue.transition:3,@D5E07932,"{@arcticSci}    These ranges seem compatible, Ollie.","{@arcticSci}    Estos rangos parecen compatibles, Ollie.",,,
script|job.arctic-cause-of-death.argue.transition:4,@D0E07153,There's nothing here that would've caused Linda's death.,No hay nada aquí que hayga causado la muerte de Linda.,,,
script|job.arctic-cause-of-death.argue.transition:5,@CFE06FC0,{@player}       Oh... you're right!,{@player}       Oh... ¡tienes razón!,,,
script|job.arctic-cause-of-death.argue.transition:6,@D2E07479,It must've been her food supply.,Debió haber sido su fuente de alimentación.,,,
